Código,Município,População,Taxa de alfabetização,PIB,PIB per capita,Renda per capita,Homicídios por 100 mil hab.,Expectativa de vida 2010,IDHM 2010
4311239,Lagoa Bonita do Sul,2.251,"0,915926893",68.915,"30.615,28",497,0,"73,05","0,67"
4311270,Lagoa dos Três Cantos,1.738,"0,9859451862",157.139,"90.413,69",903,0,"76,14","0,789"
4311304,Lagoa Vermelha,27.659,"0,9592185044",1.513.400,"54.716,37",682,"36,03","78,1","0,738"
4311254,Lagoão,5.341,"0,8342233573",154.689,"28.962,55",374,0,"74,34","0,643"
4311403,Lajeado,93.646,"0,97958035",5.596.169,"59.758,76",988,"15,11","75,41","0,778"
4311429,Lajeado do Bugre,2.601,"0,876719057",74.874,"28.786,62",328,"38,92","74,33","0,613"
4311502,Lavras do Sul,7.157,"0,9343926192",497.626,"69.529,97",551,0,"77,05","0,699"
4311601,Liberato Salzano,4.781,"0,9056984367",172.442,"36.068,19",480,"19,65","73,59","0,685"
4311627,Lindolfo Collor,6.244,"0,969115866",365.848,"58.591,93",595,"16,14","75,5","0,712"
4311643,Linha Nova,1.683,"0,9768707483",65.579,"38.965,54",682,0,"75,73","0,749"
4311718,Maçambará,4.425,"0,9374304783",582.041,"131.534,69",440,0,"74,89","0,684"
4311700,Machadinho,5.735,"0,9314249092",272.823,"47.571,58",571,0,"73,39","0,692"
4311734,Mampituba,3.131,"0,9232604374",70.213,"22.425,10",383,"33,72","73,8","0,649"
4311759,Manoel Viana,6.801,"0,9402985075",546.970,"80.424,94",490,0,"70,96","0,655"
4311775,Maquiné,7.418,"0,9528641571",190.483,"25.678,48",531,0,"77,77","0,682"
4311791,Maratá,2.470,"0,9658653846",80.816,"32.719,03",664,0,"76,74","0,697"
4311809,Marau,45.126,"0,9802436973",3.060.013,"67.810,42",792,"2,19","76,44","0,774"
4311908,Marcelino Ramos,4.320,"0,9580381471",167.824,"38.848,15",657,"23,59","75,03","0,724"
4311981,Mariana Pimentel,3.916,"0,9346642468",104.495,"26.684,12",526,"25,69","76,94","0,701"
4312005,Mariano Moro,1.858,"0,9395638629",72.887,"39.228,74",838,0,"75,55","0,73"
4312054,Marques de Souza,3.969,"0,9555359246",124.134,"31.275,89",738,"25,11","75,94","0,687"
4312104,Mata,4.698,"0,9548419468",169.005,"35.973,82",501,21,"73,39","0,656"
